filename,uptake,iteration,beam
uni+N238+E233,9.065140499459268,1,random
vmx+N192+E131,28.519773381293028,1,random
umw+N73+E87,5.4871311144885,1,random
qtz-e+N680+E195,17.925369437515698,1,random
uoq+N450+E158,7.660289945509788,1,random
tzs+N215+E219,6.343807623594649,1,random
hxg+N478+E68,17.731057352385324,1,random
umc+N710+E142,8.721529389385578,1,random
whf+N691+E181,15.570201914021442,1,random
unw+N29+E57,12.296314695886872,1,random
mdf+N34+E209,13.178782930839484,1,random
kag+N529+E205,22.42758171694363,1,random
fnj+N133+E175,18.773556528135764,1,random
smb+N422+E165,26.754708581119388,1,random
sml+N59+E134,27.897610499401924,1,random
kag+N334+E81,19.497630740579687,1,random
sra+N547+E57,11.969738118022423,1,random
smc+N628+E223,10.070708120882898,1,random
wht+N691+E63,24.845866687374016,1,random
ure+N395+E8,6.22396402736682,1,random
lcy+N125+E195,20.71202906479723,1,random
gpu+N247+E18,23.26361229149524,1,random
cag+N238+E111,5.790742495749582,1,random
umf+N2+E199,9.90544892353566,1,random
yfg+N206+E127,17.11130979926485,1,random
zfb+N172+E190,21.96869351287438,1,random
ecu+N380+E32,24.671885655832867,1,random
yfm+N206+E138,22.104632406579658,1,random
smk+N270+E23,18.75804454264424,1,random
crs+N659+E206,15.023860575047118,1,random
sxa+N465+E233,23.21022848342659,1,random
snf+N541+E20,7.603320810662526,1,random
rkf+N667+E209,15.358230350849322,1,random
fnv+N391+E50,16.88728283207427,1,random
fni+N671+E187,10.405307942285058,1,random
umf+N282+E158,10.889021177743674,1,random
vmb+N172+E215,17.139594281582035,1,random
snp+N382+E43,18.345033403117885,1,random
vms+N380+E4,17.572580709607564,1,random
cdt+N320+E128,7.922840237513922,1,random
